Latitude,Longitude,Prices,Restuarant Name
37.863683,-122.258976,2,Kiraku
37.8681812435389,-122.267604768276,2,Angeline's Louisiana Kitchen
37.8670846,-122.2587409,1,KoJa Kitchen
37.8699391820253,-122.268999516964,2,Eureka!
37.8676818865786,-122.26615783488,2,Great China
37.87027,-122.26702,3,Ippuku
37.8681334,-122.2679719,1,Toss Noodle Bar
37.8714679364032,-122.26755523706,1,Tharaphu Burmese Street Food
37.872552852207,-122.26674645696,1,Brazil Fresh Squeeze Cafe
37.868068,-122.258124,1,Gypsy's Trattoria Italiano
37.8719712048769,-122.269112840295,1,Imm Thai Street Food
37.8694781027984,-122.266114248013,2,Gather
37.87214,-122.26705,2,Simply Bowl
37.872015,-122.267681,2,Ippudo
37.8718158,-122.2696171,2,Berkeley Social Club
37.8648936,-122.2674117,3,Saha
37.8661768829269,-122.258782630021,2,Mezzo
37.8703414,-122.266784,2,Guacamole 61
37.8688583374023,-122.267181396484,2,Tasty Pot
37.867982,-122.259899,2,Poké Bar
37.8727795557954,-122.268942184746,2,Bonchon Chicken - Berkeley
37.8718315416151,-122.272098809481,2,The Butcher's Son
37.8677622467181,-122.270051948726,1,Sushinista
37.8671979534161,-122.25897911936,1,Tacos Sinaloa
37.8676379,-122.2627082,3,Julia's Restaurant
37.8677719,-122.2582301,1,Doner and Kebab
37.87087,-122.26857,1,The Flying Falafel
37.8682630277819,-122.258025721986,1,Shihlin Taiwan Street Snacks
37.87024,-122.26712,1,The Halal Guys - Berkeley
37.87164,-122.26961,2,Platano
37.8656,-122.25882,1,Sliver Pizzeria
37.86384,-122.25828,1,Pasta Bene
37.8702890737127,-122.266830280423,2,Chick'n Rice
37.8703054831156,-122.266062498093,1,Cinnaholic
37.870417,-122.269287,1,Tamon Tea
37.8716761618853,-122.272847816348,2,Rojbas Grill
37.8703432,-122.2658798,1,Suya African Caribbean Grill
37.867084,-122.267344,2,Venus Restaurant
37.86383,-122.26637,2,Musashi
37.86782,-122.26943,2,Maîson Bleue
37.87318,-122.26891,1,"The Noodle, Thai Restaurant"
37.86983,-122.26749,2,Jupiter
37.86763,-122.25812,1,Smoke's Poutinerie
37.8697054788607,-122.266148999333,2,Sumo Roll
37.86772,-122.25739,1,Top Dog
